cycle;name;location.x;location.y;location.z;name;type;id;color;line;connected;momentToConnect;neighbors;connected_neighbors;individual_chance_to_connect
764;;353.62970639861305;320.7161425887607;0.0;;DHH;398519153;rgb (0, 255, 0,255);nil;true;82;[building(13),building(21)];[building(13),building(21)];0.10500000000000001
764;;395.9505938109651;315.6975925755687;0.0;;DHH;398519154;rgb (0, 255, 0,255);nil;true;29;[building(28),building(20)];[building(20),building(28)];0.10500000000000001
764;;353.5406508060405;279.01213532988913;0.0;;DHH;398519158;rgb (0, 255, 0,255);nil;true;133;[building(21)];[building(21)];0.055
764;;390.2037250988651;276.4100871726405;0.0;;DHH;398519160;rgb (0, 255, 0,255);nil;true;15;[building(20)];[building(20)];0.055
764;;363.1586548105988;435.85173361422494;0.0;;DHH;398519167;rgb (0, 255, 0,255);nil;true;52;[building(138),building(19),building(16)];[building(138),building(19),building(16)];0.15500000000000003
764;;400.50634397173417;433.2782784383744;0.0;;DHH;398519168;rgb (0, 255, 0,255);nil;true;12;[building(18),building(22)];[building(22),building(18)];0.10500000000000001
764;;361.3552790597023;397.7302615980152;0.0;;DHH;398519172;rgb (0, 255, 0,255);nil;true;40;[building(11),building(16)];[building(16),building(11)];0.10500000000000001
764;;518.8918394432112;582.7656117426232;0.0;;RH;398521169;rgb (0, 255, 0,255);nil;true;23;[building(9),building(170),building(151)];[building(9),building(151),building(170)];0.15500000000000003
764;;572.6651170404263;588.2195740684068;0.0;;RH;398521170;rgb (0, 255, 0,255);nil;true;25;[building(3),building(171),building(152)];[building(3),building(171),building(152)];0.15500000000000003
764;;523.6173518273863;590.5619360553101;0.0;;RH;398521171;rgb (0, 255, 0,255);nil;true;16;[building(9),building(149),building(170)];[building(9),building(149),building(170)];0.15500000000000003
764;;572.8901414396823;598.3059283967596;0.0;;RH;398521172;rgb (0, 255, 0,255);nil;true;30;[building(171),building(3),building(150)];[building(3),building(171),building(150)];0.15500000000000003
764;;538.099089917106;615.8218472399749;0.0;;RH;398521173;rgb (0, 255, 0,255);nil;true;0;[building(9),building(84),building(155),building(158)];[building(9),building(84),building(158),building(155)];0.20500000000000002
764;;607.6719163380039;606.5969372871332;0.0;;RH;398521174;rgb (0, 255, 0,255);nil;true;22;[building(159),building(156),building(3),building(14)];[building(14),building(156),building(159),building(3)];0.20500000000000002
764;;544.1669298277993;624.5631429336499;0.0;;RH;398521175;rgb (0, 255, 0,255);nil;true;23;[building(158),building(84),building(153)];[building(153),building(84),building(158)];0.15500000000000003
764;;616.6860121049976;604.9130494869314;0.0;;RH;398521176;rgb (0, 255, 0,255);nil;true;20;[building(159),building(14),building(154)];[building(14),building(159),building(154)];0.15500000000000003
764;;490.7252252852486;542.0428907112218;0.0;;RH;398521177;rgb (0, 255, 0,255);nil;true;68;[building(27),building(168)];[building(168),building(27)];0.10500000000000001
764;;548.8590463646688;632.5687218902167;0.0;;RH;398521178;rgb (0, 255, 0,255);nil;true;21;[building(84),building(155),building(153)];[building(153),building(84),building(155)];0.15500000000000003
764;;625.7001078719913;603.2291613225825;0.0;;RH;398521179;rgb (0, 255, 0,255);nil;true;21;[building(14),building(154),building(156)];[building(14),building(156),building(154)];0.15500000000000003
764;;589.4990094660898;649.3028755108826;0.0;;RH;398521180;rgb (0, 255, 0,255);nil;true;44;[building(163),building(17),building(161)];[building(17),building(163),building(161)];0.15500000000000003
764;;598.5604160165822;647.6189968504477;0.0;;RH;398521181;rgb (0, 255, 0,255);nil;true;38;[building(164),building(163),building(17),building(160)];[building(17),building(163),building(160),building(164)];0.20500000000000002
764;;542.5110524022311;547.8081114205997;0.0;;RH;398521182;rgb (0, 255, 0,255);nil;true;55;[building(12),building(169),building(167)];[building(169),building(12),building(167)];0.15500000000000003
764;;607.6218225671328;645.9351178328507;0.0;;RH;398521183;rgb (0, 255, 0,255);nil;true;34;[building(165),building(17),building(160),building(164),building(161)];[building(17),building(161),building(160),building(165),building(164)];0.255
764;;625.6722779992269;642.5863857071381;0.0;;RH;398521184;rgb (0, 255, 0,255);nil;true;55;[building(161),building(165),building(166),building(8),building(163)];[building(163),building(161),building(165),building(166),building(8)];0.255
764;;634.6835907789646;640.9881266399752;0.0;;RH;398521185;rgb (0, 255, 0,255);nil;true;44;[building(166),building(163),building(8),building(164)];[building(163),building(164),building(166),building(8)];0.20500000000000002
